#                                                                                                                                                  --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                                                           accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                                                                   ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
WP_039598695.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_A12|3085                                -          CSD                  PF00313.25   5.3e-33  108.5   0.5   5.7e-33  108.4   0.5   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_Lallmahomed72|25301      -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_Lallmahomed72|25345      -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_NCPPB216|24904           -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_NCPPB253|24890           -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_NCPPB4029|24861          -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_PD3278|24971             -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_PD3570|25073             -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_PD3634|25066             -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_PD4138|25028             -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_RS476|14609              -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_RS476|28019              -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_T2C-Rasto|29613          -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_Tg03|16060               -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_202|19722                      -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_203|19715                      -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_23-10BR|2621                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_362200|25359                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_B2|19708                       -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_B50|3514                       -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_BBAC-C1|7413                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CCRMRs277|23902                -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CCRMRs287|23896                -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CCRMRs304|23886                -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CCRMRsB7|23892                 -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CFBP1416|3555                  -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CFBP3059|6678                  -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CFBP3858|5259                  -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CFBP6783|3543                  -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CFBP7014|5236                  -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CFIA906|2342                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CIP120|6663                    -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CIP417|3524                    -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CMR15|1846                     -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CQPS-1|8581                    -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CRMRs218|14668                 -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CaRs-Mep|7183                  -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_EP1|7406                       -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_FJAT-1458|1217                 -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_FJAT-91|1210                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_FJAT15244-F8|23533             -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_FJAT91-F1|23182                -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_FJAT91-F8|23189                -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_FQY_4|1348                     -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_GEO_304|9974                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_GEO_55|9985                    -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_GEO_6|9968                     -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_GEO_81|9980                    -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_GEO_96|7916                    -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_GEO_99|7910                    -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_GMI1000|23                     -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_Grenada9-1|3530                -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_HA4-1|17152                    -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_IBSBF1503|3549                 -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_IBSBF1900|5242                 -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_IBSBF2571|14531                -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_IPO0715|24911                  -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_IPO1609|4692                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_K60|8647                       -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_KACC10709|7068                 -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_KACC10722|6547                 -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_MAFF211471|24530               -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_MAFF211472|24831               -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_MAFF211479|24537               -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_MAFF211491|24544               -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_MAFF241647|24558               -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_MAFF241648|24565               -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_MAFF301560|24551               -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_MAFF311693|24838               -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_MolK2|396                      -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_NAK159|25036                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_NAK161|25023                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_NAK180|25010                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_NAK198|25016                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_NAK199|25004                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_NAK201|24998                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_NAK202|24992                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_NAK213|24985                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_NAK216|24979                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_NCPPB282|2628                  -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_NCPPB325|24897                 -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_NCPPB3985|24873                -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_NCPPB909|2351                  -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_OE1-1|7393                     -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_P597|6670                      -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_P673|2069                      -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_P781|6685                      -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_P816|13136                     -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_P822|14451                     -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_P824|14490                     -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PD134|24958                    -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PD1414|24935                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PD141|24924                    -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PD1446|24942                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PD1447|24929                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PD3223|25087                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PD3269|25093                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PD3270|25080                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PD3668|25055                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PD4027|25061                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PD4124|25049                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PD4321|25042                   -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PD445|24918                    -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PD511|24948                    -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
