assembly_name	original_file_name	taxid	organism_name	strain	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund
GCF_000016285.1_ASM1628v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000016285.1_ASM1628v1_genomic.gbff	311402	Agrobacterium_vitis_S4	S4	74	73	100.00	1.35
GCF_000019585.2_ASM1958v2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000019585.2_ASM1958v2_genomic.gbff	360094	Xanthomonas_oryzae_pv_oryzae_PXO99A	PXO99A	74	73	100.00	1.35
GCF_000023545.1_ASM2354v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000023545.1_ASM2354v1_genomic.gbff	579405	Dickeya_paradisiaca_Ech703	Ech703	74	74	100.00	0.00
GCF_000023565.1_ASM2356v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000023565.1_ASM2356v1_genomic.gbff	561229	Dickeya_chrysanthemi_Ech1591	Ech1591	74	74	100.00	0.00
GCF_000025065.1_ASM2506v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000025065.1_ASM2506v1_genomic.gbff	590409	Dickeya_zeae_Ech586	Ech586	74	74	100.00	0.00
GCF_000023605.1_ASM2360v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000023605.1_ASM2360v1_genomic.gbff	561230	Pectobacterium_carotovorum_subsp_carotovorum_PC1	PC1	74	74	100.00	0.00
GCF_000024645.1_ASM2464v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000024645.1_ASM2464v1_genomic.gbff	561231	Pectobacterium_parmentieri_WPP163	WPP163	74	74	100.00	0.00
GCF_000026185.1_ASM2618v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000026185.1_ASM2618v1_genomic.gbff	465817	Erwinia_tasmaniensis_Et1_99	Et1/99	74	74	100.00	0.00
GCF_000026985.1_ASM2698v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000026985.1_ASM2698v1_genomic.gbff	644651	Erwinia_pyrifoliae_DSM_12163	DSM 12163	74	74	100.00	0.00
GCF_000027205.1_ASM2720v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000027205.1_ASM2720v1_genomic.gbff	716540	Erwinia_amylovora_ATCC_49946	ATCC 49946	74	74	100.00	0.00
GCF_000063485.1_ASM6348v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000063485.1_ASM6348v1_genomic.gbff	443906	Clavibacter_michiganensis_subsp_michiganensis_NCPPB_382	NCPPB 382	74	74	100.00	0.00
GCF_000027265.1_ASM2726v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000027265.1_ASM2726v1_genomic.gbff	634499	Erwinia_pyrifoliae_Ep1_96	Ep1/96	74	74	100.00	0.00
GCF_000069225.1_ASM6922v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000069225.1_ASM6922v1_genomic.gbff	31964	Clavibacter_michiganensis_subsp_sepedonicus	ATCC 33113	73	73	98.65	0.00
GCF_000087965.2_ASM8796v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000087965.2_ASM8796v1_genomic.gbff	380358	Xanthomonas_albilineans_GPE_PC73	GPE PC73	74	74	100.00	0.00
GCF_000091565.1_ASM9156v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000091565.1_ASM9156v1_genomic.gbff	665029	Erwinia_amylovora_CFBP1430	CFPB1430	74	74	100.00	0.00
GCF_000070605.1_ASM7060v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000070605.1_ASM7060v1_genomic.gbff	340	Xanthomonas_campestris_pv_campestris	B100	74	73	100.00	1.35
GCF_000092025.1_ASM9202v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000092025.1_ASM9202v1_genomic.gbff	176299	Agrobacterium_fabrum_str_C58	C58	74	74	100.00	0.00
GCF_000145685.1_ASM14568v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000145685.1_ASM14568v1_genomic.gbff	629258	Pseudomonas_amygdali_pv_aesculi_str_0893_23	0893_23	74	70	100.00	5.41
GCF_000145745.1_ASM14574v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000145745.1_ASM14574v1_genomic.gbff	629259	Pseudomonas_amygdali_pv_morsprunorum_str_M302280	M302280	74	73	100.00	1.35
GCF_000091305.1_ASM9130v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000091305.1_ASM9130v1_genomic.gbff	680198	Streptomyces_scabiei_87_22	87.22	74	67	100.00	12.16
GCF_000145825.2_ASM14582v2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000145825.2_ASM14582v2_genomic.gbff	629264	Pseudomonas_syringae_Cit_7	Cit 7	74	73	100.00	1.35
GCF_000145865.1_ASM14586v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000145865.1_ASM14586v1_genomic.gbff	629266	Pseudomonas_syringae_pv_actinidiae_str_M302091	M302091	73	72	98.65	1.35
GCF_000145845.2_ASM14584v2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000145845.2_ASM14584v2_genomic.gbff	629265	Pseudomonas_syringae_pv_maculicola_str_ES4326	ES4326	74	72	100.00	2.70
GCF_000147055.1_ASM14705v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000147055.1_ASM14705v1_genomic.gbff	198628	Dickeya_dadantii_3937	3937	74	74	100.00	0.00
GCF_000146005.2_ASM14600v2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000146005.2_ASM14600v2_genomic.gbff	629260	Pseudomonas_amygdali_pv_lachrymans_str_M301315	M301315	74	68	100.00	8.11
GCF_000156475.1_ASM15647v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000156475.1_ASM15647v1_genomic.gbff	1886	Streptomyces_albidoflavus	J1074	72	69	97.30	4.05
GCF_000158975.1_ASM15897v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000158975.1_ASM15897v1_genomic.gbff	467200	Streptomyces_griseoflavus_Tu4000	Tu4000	70	67	94.59	4.05
GCF_000164015.3_ASM16401v3_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000164015.3_ASM16401v3_genomic.gbff	693985	Pseudomonas_savastanoi_pv_savastanoi_NCPPB_3335	NCPPB 3335	74	73	100.00	1.35
GCF_000165815.1_ASM16581v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000165815.1_ASM16581v1_genomic.gbff	215689	Erwinia_sp_Ejp617	Ejp617	74	74	100.00	0.00
GCF_000147815.2_ASM14781v3_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000147815.2_ASM14781v3_genomic.gbff	653045	Streptomyces_violaceusniger_Tu_4113	Tu 4113	74	68	100.00	10.81
GCF_000175135.1_ASM17513v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000175135.1_ASM17513v1_genomic.gbff	427081	Xanthomonas_citri_pv_aurantifolii_str_ICPB_11122	ICPB 11122	74	74	100.00	0.00
GCF_000175155.1_ASM17515v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000175155.1_ASM17515v1_genomic.gbff	427082	Xanthomonas_citri_pv_aurantifolii_str_ICPB_10535	ICPB 10535	71	71	95.95	0.00
GCF_000177475.1_ASM17747v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000177475.1_ASM17747v1_genomic.gbff	673198	Pseudomonas_syringae_pv_tomato_Max13	Max13	74	73	100.00	1.35
GCF_000177455.1_ASM17745v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000177455.1_ASM17745v1_genomic.gbff	673189	Pseudomonas_syringae_pv_tomato_K40	K40	72	71	97.30	1.35
GCF_000192045.2_ASM19204v3_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000192045.2_ASM19204v3_genomic.gbff	925776	Xanthomonas_perforans_91-118	91-118	74	73	100.00	1.35
GCF_000177495.1_ASM17749v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000177495.1_ASM17749v1_genomic.gbff	673265	Pseudomonas_syringae_pv_tomato_NCPPB_1108	NCPPB 1108	74	73	100.00	1.35
GCF_000192065.1_ASM19206v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000192065.1_ASM19206v1_genomic.gbff	925777	Xanthomonas_gardneri_ATCC_19865	ATCC 19865	74	71	100.00	5.41
GCF_000192025.1_ASM19202v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000192025.1_ASM19202v1_genomic.gbff	925775	Xanthomonas_vesicatoria_ATCC_35937	ATCC 35937	74	72	100.00	2.70
GCF_000177515.1_ASM17751v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000177515.1_ASM17751v1_genomic.gbff	673266	Pseudomonas_syringae_pv_syringae_642	642	74	73	100.00	1.35
GCF_000192635.1_ASM19263v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000192635.1_ASM19263v1_genomic.gbff	1183401	Agrobacterium_fabacearum	H13-3	74	74	100.00	0.00
GCF_000196615.1_ASM19661v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000196615.1_ASM19661v1_genomic.gbff	634500	Erwinia_billingiae_Eb661	Eb661	74	74	100.00	0.00
GCF_000212635.3_ASM21263v2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000212635.3_ASM21263v2_genomic.gbff	564065	Ralstonia_solanacearum_MolK2	MolK2	68	65	91.89	5.41
GCF_000212755.2_ASM21275v3_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000212755.2_ASM21275v3_genomic.gbff	347	Xanthomonas_oryzae	X11-5A	74	74	100.00	0.00
GCF_000212775.1_ASM21277v2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000212775.1_ASM21277v2_genomic.gbff	1009854	Xanthomonas_oryzae_X8-1A	X8-1A	70	70	94.59	0.00
GCF_000214615.1_Agro31749_1.0_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000214615.1_Agro31749_1.0_genomic.gbff	82789	Agrobacterium_sp_ATCC_31749	ATCC 31749	74	74	100.00	0.00
GCF_000222125.1_ASM22212v2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000222125.1_ASM22212v2_genomic.gbff	686578	Pseudomonas_sp_S9	S9	73	73	98.65	0.00
GCF_000221965.1_ASM22196v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000221965.1_ASM22196v1_genomic.gbff	990315	Xanthomonas_campestris_pv_raphani_756C	756C	74	74	100.00	0.00
GCF_000215325.1_ASM21532v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000215325.1_ASM21532v1_genomic.gbff	1031711	Ralstonia_solanacearum_Po82	Po82	71	70	95.95	2.70
GCF_000219665.1_ASM21966v2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000219665.1_ASM21966v2_genomic.gbff	1050720	Agrobacterium_tumefaciens_F2	F2	70	68	94.59	2.70
GCF_000223115.1_ASM22311v2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000223115.1_ASM22311v2_genomic.gbff	1072575	Ralstonia_solanacearum_Y45	Y45	72	71	97.30	1.35
GCF_000225805.1_ASM22580v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000225805.1_ASM22580v1_genomic.gbff	1079060	Pseudomonas_savastanoi_pv_phaseolicola_1644R	1644R	73	72	98.65	1.35
GCF_000225915.1_ASM22591v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000225915.1_ASM22591v1_genomic.gbff	981368	Xanthomonas_axonopodis_pv_citrumelo_F1	F1	74	74	100.00	0.00
GCF_000225975.1_ASM22597v2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000225975.1_ASM22597v2_genomic.gbff	1084662	Xanthomonas_sacchari_NCPPB_4393	NCPPB 4393	72	72	97.30	0.00
GCF_000227255.2_Ralstonia_sp_5_2_56FAA_V2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000227255.2_Ralstonia_sp_5_2_56FAA_V2_genomic.gbff	658080	Ralstonia_sp_5_2_56FAA	5_2_56FAA	74	71	100.00	5.41
GCF_000233795.1_ASM23379v2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000233795.1_ASM23379v2_genomic.gbff	1052680	Pseudomonas_syringae_pv_actinidiae_str_NCPPB_3871	NCPPB 3871	74	73	100.00	1.35
GCF_000233975.1_ASM23397v2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000233975.1_ASM23397v2_genomic.gbff	1082932	Agrobacterium_tumefaciens_CCNWGS0286	CCNWGS0286	74	74	100.00	0.00
GCF_000233815.1_ASM23381v2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000233815.1_ASM23381v2_genomic.gbff	1052681	Pseudomonas_syringae_pv_actinidiae_str_CRAFRU8_43	CRAFRU8.43	74	73	100.00	1.35
GCF_000236125.1_ASM23612v2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000236125.1_ASM23612v2_genomic.gbff	1107544	Agrobacterium_tumefaciens_5A	5A	74	74	100.00	0.00
GCF_000233835.1_ASM23383v2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000233835.1_ASM23383v2_genomic.gbff	1052682	Pseudomonas_syringae_pv_actinidiae_str_NCPPB_3739	NCPPB 3739	73	72	98.65	1.35
GCF_000226455.1_ASM22645v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000226455.1_ASM22645v1_genomic.gbff	1079986	Streptomyces_chartreusis_NRRL_12338	NRRL 12338	74	71	100.00	4.05
GCF_000240705.2_ASM24070v2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000240705.2_ASM24070v2_genomic.gbff	1027397	Erwinia_amylovora_ACW56400	ACW56400	74	74	100.00	0.00
GCF_000239135.1_ASM23913v3_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000239135.1_ASM23913v3_genomic.gbff	1114961	Rhodococcus_rhodochrous_BKS6-46	BKS6-46	73	70	98.65	5.41
GCF_000260925.1_ASM26092v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000260925.1_ASM26092v1_genomic.gbff	1905730	Pectobacterium_parmentieri	SCC3193	74	74	100.00	0.00
GCF_000245435.1_ASM24543v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000245435.1_ASM24543v1_genomic.gbff	1094177	Pseudomonas_syringae_pv_actinidiae_KW41	KW41	74	73	100.00	1.35
GCF_000245475.1_ASM24547v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000245475.1_ASM24547v1_genomic.gbff	1108968	Pseudomonas_syringae_pv_actinidiae_CH2010-6	CH2010-6	74	73	100.00	1.35
GCF_000245415.1_ASM24541v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000245415.1_ASM24541v1_genomic.gbff	1094176	Pseudomonas_syringae_pv_actinidiae_CFBP_7286	CFBP 7286	74	73	100.00	1.35
GCF_000245455.1_ASM24545v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000245455.1_ASM24545v1_genomic.gbff	1094178	Pseudomonas_syringae_pv_actinidiae_PA459	PA459	73	72	98.65	1.35
GCF_000263835.1_Xc1.0_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000263835.1_Xc1.0_genomic.gbff	1182783	Xanthomonas_campestris_JX	JX	74	73	100.00	1.35
GCF_000263335.1_XALMG941_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000263335.1_XALMG941_genomic.gbff	1156940	Xanthomonas_citri_pv_mangiferaeindicae_LMG_941	LMG 941	74	74	100.00	0.00
GCF_000242715.1_ASM24271v2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000242715.1_ASM24271v2_genomic.gbff	1116232	Streptomyces_acidiscabies_84-104	84-104	74	69	100.00	6.76
GCF_000264075.1_ASM26407v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000264075.1_ASM26407v1_genomic.gbff	1175299	Dickeya_zeae_ZJU1202	ZJU1202	74	74	100.00	0.00
GCF_000265565.1_UA303_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000265565.1_UA303_genomic.gbff	1185662	Xanthomonas_axonopodis_pv_manihotis_str_UA303	UA303	74	74	100.00	0.00
GCF_000265585.1_UA226_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000265585.1_UA226_genomic.gbff	1185661	Xanthomonas_axonopodis_pv_manihotis_str_UA226	UA226	74	74	100.00	0.00
GCF_000265605.1_ORST17_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000265605.1_ORST17_genomic.gbff	1185702	Xanthomonas_axonopodis_pv_manihotis_str_ORST17	ORST17	74	74	100.00	0.00
GCF_000265625.1_IBSBF2666_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000265625.1_IBSBF2666_genomic.gbff	1185678	Xanthomonas_axonopodis_pv_manihotis_str_IBSBF_2666	IBSBF 2666	72	72	97.30	0.00
GCF_000265685.1_IBSBF436_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000265685.1_IBSBF436_genomic.gbff	1185696	Xanthomonas_axonopodis_pv_manihotis_str_IBSBF_436	IBSBF 436	74	74	100.00	0.00
GCF_000265645.1_IBSBF2665_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000265645.1_IBSBF2665_genomic.gbff	1185677	Xanthomonas_axonopodis_pv_manihotis_str_IBSBF_2665	IBSBF 2665	69	69	93.24	0.00
GCF_000265705.1_NG1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000265705.1_NG1_genomic.gbff	1185701	Xanthomonas_axonopodis_pv_manihotis_str_NG1	NG1	68	68	91.89	0.00
GCF_000265665.1_IBSBF321_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000265665.1_IBSBF321_genomic.gbff	1185694	Xanthomonas_axonopodis_pv_manihotis_str_IBSBF_321	IBSBF 321	65	65	87.84	0.00
GCF_000265725.1_IBSBF356_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000265725.1_IBSBF356_genomic.gbff	1185695	Xanthomonas_axonopodis_pv_manihotis_str_IBSBF_356	IBSBF 356	74	74	100.00	0.00
GCF_000265745.1_IBSBF320_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000265745.1_IBSBF320_genomic.gbff	1185693	Xanthomonas_axonopodis_pv_manihotis_str_IBSBF_320	IBSBF 320	74	74	100.00	0.00
GCF_000265765.1_AT6B_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000265765.1_AT6B_genomic.gbff	1189616	Xanthomonas_axonopodis_pv_manihotis_str_AT6B	AT6B	74	74	100.00	0.00
GCF_000265785.1_AFNC1360_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000265785.1_AFNC1360_genomic.gbff	1189618	Xanthomonas_axonopodis_pv_manihotis_str_AFNC1360	AFNC1360	74	74	100.00	0.00
GCF_000265805.1_CFBP1851_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000265805.1_CFBP1851_genomic.gbff	1189617	Xanthomonas_axonopodis_pv_manihotis_str_CFBP1851	CFBP1851	74	74	100.00	0.00
GCF_000265845.1_CIO151_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000265845.1_CIO151_genomic.gbff	1185660	Xanthomonas_axonopodis_pv_manihotis_str_CIO151	CIO151	74	74	100.00	0.00
GCF_000265825.1_CIO1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000265825.1_CIO1_genomic.gbff	1185659	Xanthomonas_axonopodis_pv_manihotis_str_CIO1	CIO1	74	74	100.00	0.00
GCF_000265865.1_IBSBF1182_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000265865.1_IBSBF1182_genomic.gbff	1185670	Xanthomonas_axonopodis_pv_manihotis_str_IBSBF_1182	IBSBF 1182	71	71	95.95	0.00
GCF_000265885.1_IBSBF1411_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000265885.1_IBSBF1411_genomic.gbff	1185671	Xanthomonas_axonopodis_pv_manihotis_str_IBSBF_1411	IBSBF 1411	74	74	100.00	0.00
GCF_000265905.1_IBSBF1994_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000265905.1_IBSBF1994_genomic.gbff	1185672	Xanthomonas_axonopodis_pv_manihotis_str_IBSBF_1994	IBSBF 1994	71	71	95.95	0.00
GCF_000265925.1_IBSBF2345_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000265925.1_IBSBF2345_genomic.gbff	1185673	Xanthomonas_axonopodis_pv_manihotis_str_IBSBF_2345	IBSBF 2345	74	74	100.00	0.00
GCF_000265945.1_IBSBF2346_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000265945.1_IBSBF2346_genomic.gbff	1185674	Xanthomonas_axonopodis_pv_manihotis_str_IBSBF_2346	IBSBF 2346	74	74	100.00	0.00
GCF_000265965.1_IBSBF2538_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000265965.1_IBSBF2538_genomic.gbff	1185675	Xanthomonas_axonopodis_pv_manihotis_str_IBSBF_2538	IBSBF 2538	70	70	94.59	0.00
GCF_000265985.1_IBSBF2539_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000265985.1_IBSBF2539_genomic.gbff	1185676	Xanthomonas_axonopodis_pv_manihotis_str_IBSBF_2539	IBSBF 2539	74	74	100.00	0.00
GCF_000266005.1_IBSBF2672_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000266005.1_IBSBF2672_genomic.gbff	1185681	Xanthomonas_axonopodis_pv_manihotis_str_IBSBF_2672	IBSBF 2672	74	74	100.00	0.00
