WP_197387532.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_NCPPB216|24909	WP_197387532.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_NCPPB216|24909
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_Grenada9-1|3530
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_UW163|3537
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CFBP6783|3543
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_IBSBF1503|3549
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CFBP1416|3555
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_IPO1609|4692
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_004631953.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_58_RSOL|4698
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_021192552.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_58_RSOL|4699
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_004631953.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_MD27|4705
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_021192552.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_MD27|4706
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_UY031|5201
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CFBP7014|5236
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_IBSBF1900|5242
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_RS2|5249
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_UW181|5252
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CFBP3858|5259
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_Rs-T02|6049
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_Rs-T02|6050
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_004631953.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_NT80|6083
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_021192552.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_NT80|6084
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_KACC10722|6547
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CIP120|6663
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_P597|6670
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CFBP3059|6678
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CFBP3059|6679
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_P781|6685
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_P781|6686
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_UW757|6699
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_UW757|6700
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_YC40-M|6761
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_YC40-M|6762
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_UW491|6951
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_UW24|6957
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_UW365|6963
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_UW551|6969
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_KACC10709|7068
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_KACC10709|7069
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_RD15|7176
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_RD15|7177
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CaRs-Mep|7183
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CaRs-Mep|7184
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PSS1308|7365
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PSS1308|7366
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PSS190|7372
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PSS190|7373
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PSS216|7379
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PSS216|7380
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PSS4|7386
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PSS4|7387
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_OE1-1|7393
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_OE1-1|7394
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_EP1|7406
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_EP1|7407
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_BBAC-C1|7413
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_GEO_99|7910
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_GEO_96|7916
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_SEPPX05|8315
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_SEPPX05|8316
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CQPS-1|8581
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CQPS-1|8582
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_UW700|8640
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_K60|8647
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_RS488|9142
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_RS489|9148
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_RSCM|9961
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_RSCM|9962
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_GEO_6|9968
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_GEO_304|9974
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_GEO_81|9980
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_GEO_55|9985
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_UTT-25|10485
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_UTT-25|10486
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_Fm03|12153
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_Fm03|12154
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_Cq01|12160
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_Cq01|12161
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_Bg07|12167
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_Bg07|12168
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_004627322.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_GX3-BWBA|12181
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_004631953.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_GX3-BWBA|12182
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_P816|13136
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_T51|14291
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_T11|14298
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_SL3175|14305
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_SL3103|14312
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_SL3103|14313
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_SL2330|14319
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_SL2330|14320
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_T117|14326
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_T117|14327
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_T98|14333
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_T78|14340
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_T78|14341
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_SL3755|14347
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_SL3755|14348
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_SL3730|14354
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_SL3730|14355
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_SL2729|14361
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_SL2729|14362
